3	CARET	^
4	CARETEQ	^=
5	TILDE	~
6	LT	<
7	LTLT	<<
8	LTLTEQ	<<=
9	LTEQ	<=
10	EQ	=
11	EQEQ	==
12	GT	>
13	GTEQ	>=
14	GTGT	>>
15	GTGTEQ	>>=
16	GTGTGT	>>>
17	GTGTGTEQ	>>>=
18	BAR	|
19	BAREQ	|=
20	BARBAR	||
21	SUB	-
22	SUBEQ	-=
23	ARROW	->
24	SUBSUB	--
25	COMMA	,
26	SEMI	;
27	COLON	:
28	COLCOL	::
29	BANG	!
30	BANGEQ	!=
31	QUES	?
32	SLASH	/
33	SLASHEQ	/=
34	DOT	.
35	ELLIPSIS	...
36	LPAREN	(
37	RPAREN	)
38	LBRACKET	[
39	RBRACKET	]
40	LBRACE	{
41	RBRACE	}
42	MONKEYS_AT	@
43	STAR	*
44	STAREQ	*=
45	AMP	&
46	AMPEQ	&=
47	AMPAMP	&&
48	PERCENT	%
49	PERCENTEQ	%=
50	PLUS	+
51	PLUSEQ	+=
52	PLUSPLUS	++
53	ABSTRACT	abstract
54	ASSERT	assert
55	BOOLEAN	boolean
56	BREAK	break
57	BYTE	byte
58	CASE	case
59	CATCH	catch
60	CHAR	char
61	CHARLITERAL	'\0'
62	CLASS	class
63	CONST	const
64	CONTINUE	continue
65	DEFAULT	default
66	DO	do
67	DOUBLE	double
68	DOUBLELITERAL	0.0
69	ELSE	else
70	ENUM	enum
71	EXTENDS	extends
72	FALSE	false
73	FINAL	final
74	FINALLY	finally
75	FLOAT	float
76	FLOATLITERAL	0.0F
77	FOR	for
78	GOTO	goto
79	IDENTIFIER	ident
80	IF	if
81	IMPLEMENTS	implements
82	IMPORT	import
83	INSTANCEOF	instanceof
84	INT	int
85	INTERFACE	interface
86	INTLITERAL	0
87	LONG	long
88	LONGLITERAL	0L
89	NATIVE	native
90	NEW	new
91	NULL	null
92	PACKAGE	package
93	PRIVATE	private
94	PROTECTED	protected
95	PUBLIC	public
96	RETURN	return
97	SHORT	short
98	STATIC	static
99	STRICTFP	strictfp
100	STRINGLITERAL	"string"
101	SUPER	super
102	SWITCH	switch
103	SYNCHRONIZED	synchronized
104	THIS	this
105	THROW	throw
106	THROWS	throws
107	TRANSIENT	transient
108	TRUE	true
109	TRY	try
110	VOID	void
111	VOLATILE	volatile
112	WHILE	while
